,data,valor
0,01/08/1986,2.57
1,01/09/1986,2.94
2,01/10/1986,1.96
3,01/11/1986,2.37
4,01/12/1986,5.47
5,01/01/1987,11.0
6,01/02/1987,19.61
7,01/03/1987,11.95
8,01/04/1987,15.3
9,01/05/1987,24.63
10,01/06/1987,18.02
11,01/07/1987,8.91
12,01/08/1987,8.09
13,01/09/1987,7.99
14,01/10/1987,9.45
15,01/11/1987,12.92
16,01/12/1987,14.38
17,01/01/1988,16.78
18,01/02/1988,18.35
19,01/03/1988,16.59
20,01/04/1988,20.25
21,01/05/1988,18.65
22,01/06/1988,20.17
23,01/07/1988,24.69
24,01/08/1988,22.63
25,01/09/1988,26.25
26,01/10/1988,29.79
27,01/11/1988,28.41
28,01/12/1988,30.24
29,01/01/1989,22.97
30,01/02/1989,18.95
31,01/03/1989,20.41
32,01/04/1989,11.52
33,01/05/1989,11.43
34,01/06/1989,27.29
35,01/07/1989,33.15
36,01/08/1989,35.49
37,01/09/1989,38.58
38,01/10/1989,47.7
39,01/11/1989,48.41
40,01/12/1989,64.21
41,01/01/1990,67.6
42,01/02/1990,82.04
43,01/03/1990,36.76
44,01/04/1990,4.23
45,01/05/1990,5.69
46,01/06/1990,8.73
47,01/07/1990,13.79
48,01/08/1990,11.53
49,01/09/1990,15.21
50,01/10/1990,16.49
51,01/11/1990,19.83
52,01/12/1990,22.86
53,01/01/1991,21.02
54,01/02/1991,6.85
55,01/03/1991,8.99
56,01/04/1991,9.67
57,01/05/1991,9.56
58,01/06/1991,10.32
59,01/07/1991,12.39
60,01/08/1991,15.75
61,01/09/1991,19.78
62,01/10/1991,25.95
63,01/11/1991,32.43
64,01/12/1991,31.17
65,01/01/1992,29.06
66,01/02/1992,28.76
67,01/03/1992,26.86
68,01/04/1992,23.92
69,01/05/1992,23.0
70,01/06/1992,24.28
71,01/07/1992,26.21
72,01/08/1992,25.65
73,01/09/1992,27.66
74,01/10/1992,28.18
75,01/11/1992,26.4
76,01/12/1992,25.92
77,01/01/1993,28.52
78,01/02/1993,28.9
79,01/03/1993,28.36
80,01/04/1993,30.53
81,01/05/1993,30.9
82,01/06/1993,31.91
83,01/07/1993,32.73
84,01/08/1993,34.64
85,01/09/1993,37.23
86,01/10/1993,38.4
87,01/11/1993,38.38
88,01/12/1993,40.38
89,01/01/1994,42.76
90,01/02/1994,41.99
91,01/03/1994,46.42
92,01/04/1994,46.49
93,01/05/1994,47.95
94,01/06/1994,50.62
95,01/07/1994,6.87
96,01/08/1994,4.17
97,01/09/1994,3.83
98,01/10/1994,3.62
99,01/11/1994,4.07
100,01/12/1994,3.8
101,01/01/1995,3.37
102,01/02/1995,3.25
103,01/03/1995,4.26
104,01/04/1995,4.26
105,01/05/1995,4.25
106,01/06/1995,4.04
107,01/07/1995,4.02
108,01/08/1995,3.84
109,01/09/1995,3.32
110,01/10/1995,3.09
111,01/11/1995,2.88
112,01/12/1995,2.78
113,01/01/1996,2.58
114,01/02/1996,2.35
115,01/03/1996,2.22
116,01/04/1996,2.07
117,01/05/1996,2.01
118,01/06/1996,1.98
119,01/07/1996,1.93
120,01/08/1996,1.97
121,01/09/1996,1.9
122,01/10/1996,1.86
123,01/11/1996,1.8
124,01/12/1996,1.8
125,01/01/1997,1.73
126,01/02/1997,1.67
127,01/03/1997,1.64
128,01/04/1997,1.66
129,01/05/1997,1.58
130,01/06/1997,1.61
131,01/07/1997,1.6
132,01/08/1997,1.59
133,01/09/1997,1.59
134,01/10/1997,1.67
135,01/11/1997,3.04
136,01/12/1997,2.97
137,01/01/1998,2.67
138,01/02/1998,2.13
139,01/03/1998,2.2
140,01/04/1998,1.71
141,01/05/1998,1.63
142,01/06/1998,1.6
143,01/07/1998,1.7
144,01/08/1998,1.48
145,01/09/1998,2.49
146,01/10/1998,2.94
147,01/11/1998,2.63
148,01/12/1998,2.4
149,01/01/1999,2.18
150,01/02/1999,2.38
151,01/03/1999,3.33
152,01/04/1999,2.35
153,01/05/1999,2.02
154,01/06/1999,1.67
155,01/07/1999,1.66
156,01/08/1999,1.57
157,01/09/1999,1.49
158,01/10/1999,1.38
159,01/11/1999,1.39
160,01/12/1999,1.6
161,01/01/2000,1.46
162,01/02/2000,1.45
163,01/03/2000,1.45
164,01/04/2000,1.3
165,01/05/2000,1.49
166,01/06/2000,1.39
167,01/07/2000,1.31
168,01/08/2000,1.41
169,01/09/2000,1.22
170,01/10/2000,1.29
